,Overall,Overall: Weighted,Overall: Weighted 97
1/1/1997,.,.,.
2/1/1997,.,.,.
3/1/1997,.,.,.
4/1/1997,.,.,.
5/1/1997,.,.,.
6/1/1997,.,.,.
7/1/1997,.,.,.
8/1/1997,.,.,.
9/1/1997,.,.,.
10/1/1997,.,.,.
11/1/1997,.,.,.
12/1/1997,4.7,5.0,5.0
1/1/1998,4.7,5.0,5.0
2/1/1998,4.7,5.0,5.0
3/1/1998,4.7,5.0,5.0
4/1/1998,4.8,5.1,5.1
5/1/1998,4.9,5.2,5.2
6/1/1998,4.9,5.2,5.2
7/1/1998,5.0,5.3,5.3
8/1/1998,5.0,5.3,5.3
9/1/1998,5.0,5.3,5.3
10/1/1998,5.0,5.4,5.4
11/1/1998,5.0,5.4,5.4
12/1/1998,5.0,5.4,5.4
1/1/1999,5.1,5.5,5.4
2/1/1999,5.1,5.5,5.5
3/1/1999,5.2,5.6,5.6
4/1/1999,5.1,5.6,5.6
5/1/1999,5.1,5.6,5.6
6/1/1999,5.1,5.5,5.5
7/1/1999,5.0,5.5,5.4
8/1/1999,5.0,5.4,5.4
9/1/1999,5.0,5.4,5.4
10/1/1999,5.1,5.5,5.4
11/1/1999,5.1,5.4,5.4
12/1/1999,5.0,5.4,5.3
1/1/2000,5.0,5.4,5.3
2/1/2000,5.0,5.3,5.3
3/1/2000,4.9,5.2,5.2
4/1/2000,4.9,5.3,5.3
5/1/2000,4.9,5.2,5.2
6/1/2000,5.0,5.3,5.3
7/1/2000,5.0,5.3,5.3
8/1/2000,5.0,5.3,5.3
9/1/2000,5.0,5.4,5.4
10/1/2000,5.0,5.4,5.4
11/1/2000,5.1,5.5,5.5
12/1/2000,5.1,5.5,5.5
1/1/2001,5.1,5.5,5.5
2/1/2001,5.2,5.6,5.6
3/1/2001,5.2,5.6,5.6
4/1/2001,5.2,5.6,5.6
5/1/2001,5.2,5.6,5.6
6/1/2001,5.3,5.6,5.6
7/1/2001,5.2,5.6,5.6
8/1/2001,5.2,5.6,5.6
9/1/2001,5.2,5.5,5.5
10/1/2001,5.2,5.5,5.5
11/1/2001,5.1,5.4,5.4
12/1/2001,5.1,5.3,5.3
1/1/2002,5.1,5.3,5.3
2/1/2002,5.0,5.2,5.2
3/1/2002,4.9,5.1,5.1
4/1/2002,4.8,4.9,4.9
5/1/2002,4.8,4.9,4.9
6/1/2002,4.7,4.8,4.8
7/1/2002,4.6,4.7,4.6
8/1/2002,4.5,4.6,4.6
9/1/2002,4.4,4.5,4.5
10/1/2002,4.3,4.4,4.3
11/1/2002,4.1,4.2,4.2
12/1/2002,4.1,4.1,4.1
1/1/2003,4.0,4.1,4.1
2/1/2003,4.0,4.0,4.0
3/1/2003,3.9,4.0,3.9
4/1/2003,3.8,3.9,3.9
5/1/2003,3.7,3.8,3.8
6/1/2003,3.7,3.8,3.8
7/1/2003,3.7,3.8,3.8
8/1/2003,3.6,3.7,3.7
9/1/2003,3.6,3.7,3.7
